"RegionName","State","Metro","CountyName","SizeRank","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Saint Louis","MO","St. Louis","Saint Louis City",22,,,,,,,,,,,,,,,,,,1.2168202764977,1.25555555555556,1.23745519713262,1.25555555555556,1.19967741935484,1.21935483870968,1.32222222222222,1.24856630824373,1.32222222222222,1.40727272727273,1.31514533995138,1.21111111111111,1.22222222222222,1.26832286312583,1.26019417475728,1.25555555555556,1.23809523809524,1.25884573894283,1.26019417475728,1.27777777777778,1.32222222222222,1.38461538461538,1.32222222222222,1.34001019367992,1.36363636363636,1.375,1.28440366972477,1.36363636363636,1.37098623853211,1.375,1.4047619047619,1.40803489439853,1.36585365853659,1.38603696098563,1.44702842377261,1.36585365853659,1.33333333333333,1.3625304136253,1.43333333333333,1.37523452157598,1.44573643410853,1.33333333333333,1.49603542109716,1.52222222222222,1.49603542109716,1.49105367793241,1.41119221411192,1.44929906542056,1.44444444444444
"Pittsburgh","PA","Pittsburgh","Allegheny",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24378881987578,2.27484472049689,2.30978260869565,2.45160767292774,2.37951807228916,2.37577639751553,2.34806629834254,2.26708074534162,2.44565217391304,2.24242424242424,2.01219512195122,2.18840579710145,1.94323671497585,1.61458333333333
"Silver Spring","MD","Washington","Montgomery",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84385113268608,2.88666666666667,2.83333333333333,2.82222222222222,2.83333333333333,2.88888888888889,2.86199846887288,2.80582524271845,2.73619750789683,2.71844660194175,2.74757281553398,2.67032967032967,2.74233853946813,2.71428571428571,2.70180305131761,2.65274969503534,2.65182186234818,2.60068846815835,2.61421319796954,2.60710659898477,2.73767605633803,2.61795444572979,2.60377358490566,2.56999529937129,2.6427036199095,2.63953560371517,2.57741347905282,2.67392326223632,2.70609318996416,2.67025089605735,2.74984005720307,2.64358108108108,2.70741552702091,2.75024636058231
"Jersey City","NJ","New York","Hudson",25,,,,,,,,,,,,3.22105263157895,3.18408507223114,3.37713310580205,3.36350364963504,3.43257443082312,3.51674641148325,3.45839416058394,3.40062111801242,3.20945945945946,3.23809523809524,3.35766423357664,3.41307814992026,3.33357699805068,3.18,3.16,3.17165450121654,3.27204062202475,3.37423312883436,3.37423312883436,3.3539644012945,3.50077279752705,3.55555555555556,3.51618705035971,3.47194858804766,3.34936244517841,3.3273381294964,3.30441176470588,3.3,3.38509316770186,3.48939929328622,3.48939929328622,3.36538461538462,2.9940119760479,2.72,3.13658322353975,3.51232394366197,3.65316901408451,3.3,3.46140309816714,3.50616197183099,3.41100917431193,3.44036697247706,3.44689378757515,3.40720453026499,3.45454545454545,3.42369477911647,3.34507384376215,3.52320675105485,3.61630064562046,3.62051240792391,3.64837398373984,3.59712230215827,3.60601558295702,3.53508771929825,3.71839837629967
"Orlando","FL","Orlando","Orange",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04411764705882,2.03252032520325,2.06412592367649,1.93069101362862,1.80115273775216,1.80115273775216,1.96763202725724,2.05625,2.0561797752809,1.85707569346497,1.85707569346497,2.08108108108108,2.07107843137255,2.06863042818099,2.0561797752809,2.08108108108108,1.98585806786099,2.01038575667656,2.01038575667656,2.00765207715134,2.00178094390027,1.89723926380368,1.85707569346497,1.86315323134787,2.04732065687122,1.98461538461538,2.01252236135957,2,2.01207386363636,1.98159509202454,2,2.04508670520231,1.9975,1.9975,2.05182876004401,2.00769230769231
"Arlington","VA","Washington","Arlington",27,,,,,,,,2.81763826606876,2.68220910623946,2.82372881355932,2.68659793814433,2.81015037593985,2.81693959474959,2.92285520076389,2.98872180451128,2.94569400258402,2.86106750392465,2.88791154277075,2.80457746478873,2.72566371681416,2.65037593984962,2.7953795379538,2.86679536679537,2.86679536679537,2.96660482374768,2.86679536679537,2.88398692810458,2.85810810810811,2.85954487989886,3.10916179337232,3.08724561256401,2.85267034990792,2.89991212653779,2.89991212653779,2.84782608695652,2.90185297681505,2.79932546374368,2.81940200525185,2.97415185783522,2.95910780669145,2.96229802513465,2.94308943089431,2.75791433891993,2.76999331524517,2.76619226638024,2.76304977044381,2.76734693877551,2.77482269503546,2.90025295109612,2.9,2.8434003941012,2.90243902439024,2.95220055104408,2.84210526315789,2.75791433891993,2.72765559911786,2.76734693877551,2.74760994263862,2.78768286075492,2.83829787234043,2.84603257837027,2.88398692810458,2.91554702495202,2.73327922077922,2.90921856395921,2.74829931972789
"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80265923839554,2.91428571428571,2.98442906574394,2.9707977289181,2.93296089385475,2.85460992907801,2.97227036395147,2.96866643469744,2.93327556325823,2.93733179546328,2.92483660130719,2.95751633986928,2.94627383015598,2.88181818181818,2.97272727272727,2.89126853377265,2.98181818181818,2.97020484171322,2.99657534246575,2.93313911231709,2.88745149484081,2.93382352941176,2.93760831889081,2.96101949025487,3.11151079136691,3.09558823529412
"Alexandria","VA","Washington","Alexandria City",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56214203894616,2.5462962962963,2.5737786755828,2.58185268601935,2.74822695035461,2.80983704698771,2.74907749077491,2.65260358016542,2.66620698712897,2.63829787234043,2.60135135135135,2.55395683453237,2.59973376044805,2.5234521575985,2.59281050713635,2.70391123548488,2.75160599571734,2.70332889399345,2.79041949568791,2.82923299565847,2.91666666666667,2.71360759493671,2.70332889399345
"Bellevue","WA","Seattle","King",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61194029850746,2.61194029850746,2.65688195082134,2.61194029850746,2.67940296701344,2.69499178981938,2.70226320948053,2.86990359430717,2.8530534351145,2.93900184842884,2.94444444444444,2.807081029968,2.80357142857143,2.90352504638219,2.93900184842884,2.94444444444444,2.95836919879698,2.97811558641052,2.95836919879698,2.98924731182796,2.97849462365591,3.01072124756335,3.0071283095723,3.02366166636544,3.01526717557252,3.06640625,3.162109375,3.162109375,3.18954190340909,3.20434061138164,3.24915364583333,3.16666666666667,3.09692081404321
"Cambridge","MA","Boston","Middlesex",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76262626262626,3.94444444444444,4.21016483516484,4.18173555300421,4.29230769230769,4.44497367421158,4.71164510166359,4.625,4.42307692307692,4.40854700854701,4.40854700854701,4.25159240859542,4.25223924582013,4.24338484235214,4.26829268292683,4.30875220458554,4.29432013769363,4.35028248587571,4.6030534351145,4.3249859708193,4.34210526315789,4.34210526315789
"Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",32,2.55754527162978,2.47706422018349,2.5,2.47392459724298,2.56451612903226,2.22048167092924,2.16666666666667,2.25,2.32410426710945,2.26217410040939,2.47148288973384,2.5,2.5,2.48618784530387,2.63157894736842,2.61821086261981,2.64628073451603,2.61116600790514,2.3512087000893,2.32945736434109,2.45614035087719,2.46125403194084,2.45614035087719,2.4468085106383,2.47422680412371,2.50396825396825,2.48868778280543,2.5,2.66666666666667,2.73584905660377,2.52777777777778,2.60416666666667,2.57043650793651,2.54461212215684,2.5,2.45050465838509,2.5,2.66666666666667,2.66666666666667,2.66666666666667,2.67908902691511,2.62698412698413,2.66666666666667,2.65448842283913,2.70588235294118,2.70588235294118,2.74509803921569,2.77475845410628,2.77777777777778,2.83251231527094,2.84090909090909,2.96985815602837,2.875,2.85714285714286,2.78571428571429,2.75,2.73684210526316,2.83333333333333,2.82857142857143,3,2.93135997067449,2.90191387559809,2.66666666666667,2.8125,2.74412009192705,2.82857142857143
