SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,Condo/Co-op,750 Andover St Ste B,San Francisco,CA,94110,699000,3,2,Bernal Heights,,,,3,Active,,,http://www.redfin.com/CA/San-Francisco/750-Andover-St-94110/unit-B/home/768126,San Francisco MLS,62886805,N,Y,37.7338178,-122.41717
MLS Listing,Condo/Co-op,761 Tehama St #4,San Francisco,CA,94103,1099000,2,2.5,South of Market,1400,,2001,32,Active,,,http://www.redfin.com/CA/San-Francisco/761-Tehama-St-94103/unit-4/home/1658045,San Francisco MLS,62459633,N,Y,37.7750063,-122.4118016
MLS Listing,Condo/Co-op,765 Market St Unit 26G,San Francisco,CA,94108,3375000,2,2.5,South of Market,1762,,2001,7,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-26G/home/1982535,San Francisco MLS,62810645,N,Y,37.7860859,-122.4043063
MLS Listing,Condo/Co-op,765 Market St Unit 34F,San Francisco,CA,94103,5995000,3,3,South of Market,2572,,2001,49,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-34F/home/866686,San Francisco MLS,62027926,N,Y,37.7860859,-122.4043063
MLS Listing,Condo/Co-op,765 Market St Unit 36F,San Francisco,CA,94103,6450000,3,3.5,South of Market,2610,,2001,28,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-36F/home/867958,San Francisco MLS,62517451,N,Y,37.7860859,-122.4043063
MLS Listing,Single Family Residential,775 Noe St,San Francisco,CA,94114,3150000,3,2.5,Eureka Valley/Dolore,,,,38,Active,,,http://www.redfin.com/CA/San-Francisco/775-Noe-St-94114/home/712190,San Francisco MLS,62368342,N,Y,37.756608,-122.432032
MLS Listing,Multi-Family (2-4 Unit),78-80 Barcelona Ave,San Francisco,CA,94115,1895000,4,2,Anza Vista,2934,4038,1948,24,Active,,,http://www.redfin.com/CA/San-Francisco/80-Barcelona-Ave-94115/home/1937683,San Francisco MLS,62596015,N,Y,37.7807942,-122.4444746
MLS Listing,Single Family Residential,784 Andover St,San Francisco,CA,94110,1750000,4,4.5,Bernal Heights,3035,2149,2016,26,Active,,,http://www.redfin.com/CA/San-Francisco/784-Andover-St-94110/home/28902406,San Francisco MLS,62549351,N,Y,37.7334762,-122.4170022
MLS Listing,Single Family Residential,786 44th Ave,San Francisco,CA,94121,825000,2,2,Outer Richmond,1128,1438,1939,3,Active,,,http://www.redfin.com/CA/San-Francisco/786-44th-Ave-94121/home/1531026,San Francisco MLS,62883717,N,Y,37.773796,-122.504481
MLS Listing,Condo/Co-op,786 Minna St #10,San Francisco,CA,94103,1050000,2,2.5,South of Market,1460,,1999,48,Active,,,http://www.redfin.com/CA/San-Francisco/786-Minna-St-94103/unit-10/home/12396751,San Francisco MLS,62034078,N,Y,37.7762195,-122.4139248
MLS Listing,Single Family Residential,791 30th Ave,San Francisco,CA,94121,1495000,4,3,Central Richmond,2085,1746,1941,3,Active,,,http://www.redfin.com/CA/San-Francisco/791-30th-Ave-94121/home/1128640,San Francisco MLS,62867081,N,Y,37.774393,-122.489936
MLS Listing,Multi-Family (2-4 Unit),794-96 Hayes St,San Francisco,CA,94102,3050000,12,,Hayes Valley,6093,2700,1885,31,Active,,,http://www.redfin.com/CA/San-Francisco/796-Hayes-St-94102/home/109289675,San Francisco MLS,62482787,N,Y,37.776309,-122.429434
MLS Listing,Multi-Family (2-4 Unit),800 Brazil Ave,San Francisco,CA,94112,1380000,4,4,Excelsior,2970,2500,1954,25,Active,,,http://www.redfin.com/CA/San-Francisco/800-Brazil-Ave-94112/home/1185377,San Francisco MLS,62573163,N,Y,37.7214326,-122.4282403
MLS Listing,Townhouse,801 Indiana St #363,San Francisco,CA,94107,1095000,2,2.5,Central Waterfront,1391,,2009,11,Active,,,http://www.redfin.com/CA/San-Francisco/801-Indiana-St-94107/unit-363/home/40142865,San Francisco MLS,62757673,N,Y,37.7603083,-122.3913132
MLS Listing,Single Family Residential,81 Badger St,San Francisco,CA,94112,1249000,3,2,Mission Terrace,2350,2495,1941,32,Active,,,http://www.redfin.com/CA/San-Francisco/81-Badger-St-94112/home/819743,San Francisco MLS,62457796,N,Y,37.730766,-122.433768
MLS Listing,Condo/Co-op,8100 Oceanview Ter #117,San Francisco,CA,94132,650000,2,2,Ingleside Heights,950,,2002,46,Active,,,http://www.redfin.com/CA/San-Francisco/8100-Ocean-View-Ter-94132/unit-117/home/1991265,San Francisco MLS,62091249,N,Y,37.7104999,-122.4677749
MLS Listing,Single Family Residential,827 46th Ave,San Francisco,CA,94121,1490000,4,4,Outer Richmond,2050,2996,1924,29,Active,,,http://www.redfin.com/CA/San-Francisco/827-46th-Ave-94121/home/1427580,San Francisco MLS,62504081,N,Y,37.772837,-122.507107
MLS Listing,Single Family Residential,835 Castro St,San Francisco,CA,94114,1998000,3,1.5,Eureka Valley/Dolore,1808,1873,1906,3,Active,,,http://www.redfin.com/CA/San-Francisco/835-Castro-St-94114/home/1309144,San Francisco MLS,62887687,N,Y,37.755567,-122.434221
MLS Listing,Single Family Residential,84 Ord St,San Francisco,CA,94114,4795000,5,4,Corona Heights,,2722,,38,Active,,,http://www.redfin.com/CA/San-Francisco/84-Ord-St-94114/home/108999830,San Francisco MLS,62378180,N,Y,37.762459,-122.440487
MLS Listing,Single Family Residential,869 Alvarado St,San Francisco,CA,94114,2495000,5,2,Noe Valley,,4421,1900,31,Active,,,http://www.redfin.com/CA/San-Francisco/869-Alvarado-St-94114/home/1462724,San Francisco MLS,62481461,N,Y,37.753104,-122.440101
MLS Listing,Condo/Co-op,870 Harrison St #201,San Francisco,CA,94107,618000,1,1,Yerba Buena,,,2015,17,Active,November-16-2016 02:00 PM,November-16-2016 03:00 PM,http://www.redfin.com/CA/San-Francisco/870-Harrison-St-94107/unit-201/home/63067394,San Francisco MLS,62679613,N,Y,37.779743,-122.401357
MLS Listing,Condo/Co-op,875 Indiana St #220,San Francisco,CA,94107,850000,1,1.5,Central Waterfront,852,,2009,38,Active,,,http://www.redfin.com/CA/San-Francisco/875-Indiana-St-94107/unit-220/home/40138904,San Francisco MLS,62376475,N,Y,37.7594015,-122.3910769
MLS Listing,Condo/Co-op,875 Meade Ave,San Francisco,CA,94124,695000,3,2,Bayview Heights,,,1992,3,Active,,,http://www.redfin.com/CA/San-Francisco/875-Meade-Ave-94124/home/960271,San Francisco MLS,62868129,N,Y,37.7176121,-122.3969992
MLS Listing,Condo/Co-op,88 King St #812,San Francisco,CA,94107,1299000,2,2,South Beach,1141,,2000,44,Active,,,http://www.redfin.com/CA/San-Francisco/88-King-St-94107/unit-812/home/1416056,San Francisco MLS,62283524,N,Y,37.7806904,-122.3892201
MLS Listing,Multi-Family (2-4 Unit),880-882 Hampshire St,San Francisco,CA,94110,5495000,8,6,Inner Mission,,2321,1905,14,Active,November-15-2016 01:30 PM,November-15-2016 04:00 PM,http://www.redfin.com/CA/San-Francisco/880-Hampshire-St-94110/home/109940678,San Francisco MLS,62716528,N,Y,37.7580751,-122.4078364
MLS Listing,Condo/Co-op,882 Hampshire St,San Francisco,CA,94110,3195000,4,4,Inner Mission,,,1905,17,Active,November-15-2016 01:30 PM,November-15-2016 04:00 PM,http://www.redfin.com/CA/San-Francisco/882-Hampshire-St-94110/home/109473193,San Francisco MLS,62689029,N,Y,37.7580539,-122.4078343
MLS Listing,Condo/Co-op,896 Chestnut St,San Francisco,CA,94133,1395000,3,1,Russian Hill,1558,,1907,45,Active,,,http://www.redfin.com/CA/San-Francisco/896-Chestnut-St-94133/home/889940,San Francisco MLS,62187652,N,Y,37.8033262,-122.4181013
MLS Listing,Condo/Co-op,909 Union St,San Francisco,CA,94133,1795000,3,2,Russian Hill,,,1907,31,Active,,,http://www.redfin.com/CA/San-Francisco/909-Union-St-94133/home/18533580,San Francisco MLS,62484480,N,Y,37.7997947,-122.4143328
MLS Listing,Condo/Co-op,925 Corbett Ave,San Francisco,CA,94131,850000,1,1,Twin Peaks,956,,1978,3,Active,,,http://www.redfin.com/CA/San-Francisco/925-Corbett-Ave-94131/home/680524,San Francisco MLS,62883715,N,Y,37.751998,-122.443228
MLS Listing,Condo/Co-op,93 Cumberland St,San Francisco,CA,94110,6149000,4,3.5,Mission Dolores,5400,,1916,26,Active,,,http://www.redfin.com/CA/San-Francisco/93-Cumberland-St-94110/home/109309666,San Francisco MLS,62542611,N,Y,37.7590501,-122.4254918
MLS Listing,Single Family Residential,932 Hamilton St,San Francisco,CA,94134,1150000,4,3,Visitacion Valley,1652,3000,1972,12,Active,,,http://www.redfin.com/CA/San-Francisco/932-Hamilton-St-94134/home/966762,San Francisco MLS,62752456,N,Y,37.719491,-122.407116
