"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Greenwich Village","New York","NY","New York","New York",55,,,,,,,,,,,,3300,2995,2925,3000,3017.5,3100,2900,3100,3175,3225,3162.5,3000,3095,3000,3000,3000,3100,3025,3200,3195,3195,3270,3300,3400,3400,3295,3295,3300,3395,3300,3241,3350,3250,3395,3400,3400,3400,3400,3470,3400,3577.5,3595,3450,3400,3450,3495,3400,3595,3750,3595,3575,3500,3547.5,3500,3685,3595,3547.5,3500,3500,3547.5,3695,3695,3695,3500,3500,3495,3500,3400,3470
"Rancho Bernardo","San Diego","CA","San Diego","San Diego",56,,,,,,,,,,,,,1575,1595,1595,1572.5,1497.5,1585,1599,1550,1500,1595,1585,1572.5,1550,1572.5,1600,1595,1650,1500,1600,1675,1695,1575,1662.5,1650,1695,1695,1600,1600,1600,1695,1700,1800,1745,1785,1750,1675,1675,1695,1675,1650,1695,1695,1800,1800,1750,1695,1662.5,1750,1895,1700,1750,1795,1800,1895,1850,1950,1925,1900,1750,1900,1895,1925,1750,1850,1895,1872.5,1850,1900
"Alameda - West Flagler","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",57,,,,,,,,,,,,,1375,1400,1300,1300,1350,1325,1200,1350,1350,1337.5,1350,1399.5,1350,1365,1400,1350,1375,1375,1500,1550,1500,1600,1545,1550,1600,1550,1550,1600,1550,1550,1550,1550,1550,1500,1500,1500,1600,1550,1550,1500,1500,1550,1550,1650,1650,1650,1550,1500,1500,1485,1500,1672.5,1725,1600,1600,1600,1600,1750,1785,1675,1650,1637.5,1600,1662.5,1650,1750,1675,1562.5
"Carmel Valley","San Diego","CA","San Diego","San Diego",58,,,,,,,,,,,,2100,2097.5,2150,2200,2199.5,2100,2172.5,2147.5,2100,2200,2129,2100,2100,2100,2095,2249,2250,2300,2202.5,2300,2350,2300,2225,2295,2365,2350,2200,2150,2125,2295,2300,2300,2300,2199.5,2297.5,2200,2200,2200,2300,2295,2295,2400,2200,2200,2200,2300,2400,2400,2300,2300,2297.5,2300,2397,2400,2400,2400,2350,2350,2495,2400,2300,2350,2400,2500,2400,2500,2600,2495,2650
"Rego Park","New York","NY","New York","Queens",59,,,,,,,,,,,,,,,,,,,,,,1650,1700,1700,1650,1600,1500,1512.5,1550,1550,1525,1597.5,1650,1700,1700,1688,1712.5,1625,1650,1750,1750,1700,1800,1800,1750,1600,1600,1610,1600,1600,1600,1687.5,1700,1675,1650,1675,1800,1787.5,1687.5,1700,1675,1675,1680,1800,1800,1800,1900,2100,2100,2100,2100,1975,1949,1900,1875,1950,1900,1949,2100,1949
"Morningside Heights","New York","NY","New York","New York",60,,,,,,,,,,,,,,,,,,,,,,,,2600,2400,2395,2350,2500,2500,2495,2500,2610,2630,2630,2600,2595,2522.5,2595,2599,2695,2696,2600,2700,2912.5,3017.5,3150,3200,3200,3200,3200,3200,3200,3100,3147.5,3085,2912.5,2837.5,2950,3017.5,2950,2950,2950,3100,3200,3200,3200,3150,3200,3200,3200,3200,3150,3085,3100,3100,3150,3100,3100,2950,3092.5
"East Boston","Boston","MA","Boston","Suffolk",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1950,2025,2100,2200,2200,1950,1950,1925,2100,2200,2100,2200,2275,2200,2300,2100,2200,2300,2175
"Coral Way","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",62,,,,,,,,1787.5,1712.5,1600,1600,1500,1550,1500,1560,1600,1572.5,1600,1600,1650,1650,1695,1700,1700,1680,1700,1650,1600,1600,1700,1750,1700,1700,1700,1700,1650,1700,1700,1700,1700,1700,1800,1899.5,1850,1875,1850,1850,1862.5,1850,1850,1800,1750,1750,1850,1850,1900,1850,1800,1800,1800,1825,1850,1850,1900,1900,1900,1950,1970,1916.5,1950,1950,1900,1900,1900,1950,1950,1800,1850,1850,1875
"Desert View","Phoenix","AZ","Phoenix","Maricopa",63,,,,,,,,,,,,,,,1250,1300,1200,1275,1200,1387.5,1350,1497.5,1475,1550,1332.5,1325,1425,1395,1495,1450,1290,1195,1272.5,1372.5,1347.5,1345,1400,1500,1425,1400,1298,1347.5,1290,1300,1374.5,1350,1350,1350,1390,1390,1450,1450,1392.5,1350,1350,1397.5,1347.5,1400,1450,1450,1550,1445,1447.5,1450,1450,1350,1450,1450,1500,1575,1575,1497.5,1562.5,1500,1624.5,1700,1437.5,1500,1550,1500
"South Shore","Chicago","IL","Chicago","Cook",64,,,,,,,,,,,,,,,,,,,,,,,,1075,950,850,924,950,950,950,950,900,900,900,900,900,900,900,950,892.5,895,805,799.5,795,925,900,900,900,900,900,900,900,897.5,950,995,950,972.5,1000,997.5,1000,1000,1000,1025,1000,962.5,950,945,975,997.5,995,995,950,997.5,1047.5,1050,950,1025,1025,990,995
