"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-09-30,"Orchard Park","KS","Wichita","Sedgwick","Wichita",3568,828,0.00242130750605327,-0.00480769230769231,-0.0258823529411765,1494
2016-09-30,"Homewood North","PA","Pittsburgh","Allegheny","Pittsburgh",3569,904,0.00780379041248606,0.0307867730900798,0.0839328537170264,1413
2016-09-30,"West End","LA","New Orleans","Orleans","New Orleans",3570,1690,-0.0128504672897196,-0.0315186246418338,-0.0996270644645711,2017
2016-09-30,"Newfield","CT","Stamford","Fairfield","Stamford",3571,3398,-0.00117577895355673,0.00681481481481482,0.00651658767772512,1210
2016-09-30,"Allendale","MD","Baltimore","Baltimore City","Baltimore",3572,1251,-0.00398089171974522,-0.00635424940428912,-0.031733746130031,1546
2016-09-30,"Yankee Hill","WI","Milwaukee","Milwaukee","Milwaukee",3573,1470,-0.0245520902455209,-0.067258883248731,-0.132743362831858,781
2016-09-30,"Carver","AL","Mobile","Mobile","Mobile",3574,741,0,-0.012,-0.0133155792276964,1351
2016-09-30,"Wescott","NY","Syracuse","Onondaga","Syracuse",3575,1491,-0.0125827814569536,-0.00666222518321119,0.138167938931298,817
2016-09-30,"Mitchell West","WI","Milwaukee","Milwaukee","Milwaukee",3576,1022,0.00689655172413793,-0.000977517106549365,0.0189431704885344,983
2016-09-30,"Alamitos Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",3577,2890,0.00208044382801664,0.012968804766912,0.0122591943957968,1307
2016-09-30,"River Oaks","FL","Miami-Fort Lauderdale","Broward","Fort Lauderdale",3578,1787,-0.000559284116331096,0.00112044817927171,0.0188141391106043,2172
2016-09-30,"Moncrief Park","FL","Jacksonville","Duval","Jacksonville",3579,735,0.00272851296043656,0,0.00409836065573771,1301
2016-09-30,"The Hills of Park North","TX","San Antonio","Bexar","San Antonio",3580,1162,0.00432152117545376,0.00345423143350604,0.0274093722369584,696
2016-09-30,"Plaza Midwood","NC","Charlotte","Mecklenburg","Charlotte",3581,1649,0.0048750761730652,0.0166461159062885,0.0410353535353535,1868
2016-09-30,"Corcoran","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3582,1392,-0.00143472022955524,-0.0021505376344086,0.0168005843681519,1246
2016-09-30,"Brookfield Village","CA","San Francisco","Alameda","Oakland",3583,2315,0.00827526132404181,0.0325602140945584,0.247306034482759,1106
2016-09-30,"Gardenland","CA","Sacramento","Sacramento","Sacramento",3584,1321,0.00609291698400609,0.0224458204334365,0.0636070853462158,853
2016-09-30,"Frasier Meadows","CO","Boulder","Boulder","Boulder",3585,2485,-0.00520416333066453,-0.0115354017501989,-0.0323208722741433,975
2016-09-30,"Frick","CA","San Francisco","Alameda","Oakland",3586,2693,0.0185325264750378,0.0665346534653465,0.174443959877889,994
2016-09-30,"Collinsville","CT","Hartford","Hartford","Canton",3587,1755,-0.0134907251264755,-0.0325248070562293,-0.0346534653465347,1140
2016-09-30,"North Hayward","CA","San Francisco","Alameda","Hayward",3588,2488,0.00484652665589661,0.0159248672927726,0.101860053144376,1541
2016-09-30,"New Scotland","NY","Albany","Albany","Albany",3589,1515,0.00198412698412698,-0.0175097276264591,0.0127005347593583,910
2016-09-30,"Blenman-Elm","AZ","Tucson","Pima","Tucson",3590,1185,0.00253807106598985,0.00594227504244482,0.0440528634361234,1361
2016-09-30,"Maple Ridge","OK","Tulsa","Tulsa","Tulsa",3591,2284,0.00175438596491228,0.00661084178052005,-0.00695652173913043,1720
2016-09-30,"Rock Island","FL","Miami-Fort Lauderdale","Broward","Fort Lauderdale",3592,1594,0.00631313131313131,0.017230376515635,0.0411495754408883,993
2016-09-30,"Breezy Point","NY","New York","Queens","New York",3593,2202,-0.00271739130434783,-0.0107816711590297,-0.0191536748329621,551
2016-09-30,"Northrich","TX","Dallas-Fort Worth","Dallas","Richardson",3594,1535,-0.0103159252095422,-0.032156368221942,0.00655737704918033,1452
2016-09-30,"Mystic","CT","New London","New London","Town of Stonington",3595,1770,0.0028328611898017,0.0195852534562212,0.0120068610634648,2149
2016-09-30,"Wasatch Hollow","UT","Salt Lake City","Salt Lake","Salt Lake City",3596,1828,0.00274273176083379,0.00494777350192413,0.0998796630565584,1494
2016-09-30,"Keewaydin","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3597,1599,0.00125234815278647,0.00502828409805154,0.0178230426479949,1437
2016-09-30,"Helderberg","NY","Albany","Albany","Albany",3598,1518,0.00330469266358229,-0.0110749185667752,0.0181086519114688,1034
2016-09-30,"Westwood","PA","Pittsburgh","Allegheny","Pittsburgh",3599,1093,-0.00816696914700544,-0.0214861235452104,0.00830258302583026,1240
2016-09-30,"Eastwood Hill East","MO","Kansas City","Jackson","Kansas City",3600,790,0.00126742712294043,0.00893997445721584,0.0167310167310167,1328
2016-09-30,"Breinigsville","PA","Allentown","Lehigh","Upper Macungie",3601,1862,-0.00267809319764328,-0.00904736562001064,-0.036231884057971,1492
2016-09-30,"Clanton Park-Roseland","NC","Charlotte","Mecklenburg","Charlotte",3602,887,0.00339366515837104,0.00225988700564972,0.0509478672985782,882
2016-09-30,"Central Business District","FL","Orlando","Orange","Orlando",3603,1381,-0.00432588320115357,-0.0121602288984263,0.0124633431085044,2831
2016-09-30,"Kings Point","NY","New York","Nassau","Great Neck",3604,12774,0.00464018875344082,0.0268488745980707,0.0825423728813559,1427
2016-09-30,"Globeville","CO","Denver","Denver","Denver",3605,1697,-0.00117716303708064,0.00652431791221827,0.141223940820444,1023
2016-09-30,"North Park","CA","Riverside","San Bernardino","San Bernardino",3606,1704,0.00353356890459364,0.00709219858156028,0.0402930402930403,1287
2016-09-30,"Hidden Hills","FL","Jacksonville","Duval","Jacksonville",3607,1233,-0.00161943319838057,-0.00564516129032258,0.0164880461665293,1386
2016-09-30,"Mission Lake","MO","Kansas City","Jackson","Kansas City",3608,1238,0.00650406504065041,0.0239867659222498,0.0897887323943662,1178
2016-09-30,"Downtown","FL","Miami-Fort Lauderdale","Broward","Fort Lauderdale",3609,2261,-0.0039647577092511,-0.0122324159021407,-0.0271084337349398,2605
2016-09-30,"Old Palo Alto","CA","San Jose","Santa Clara","Palo Alto",3610,10680,0.00498729650889244,0.0302913370634767,0.0775905559479366,1316
2016-09-30,"The Gate District","MO","St. Louis","Saint Louis City","Saint Louis",3611,1154,-0.000865800865800866,-0.00259291270527226,0.019434628975265,1094
2016-09-30,"Settegast","TX","Houston","Harris","Houston",3612,1078,-0.00553505535055351,-0.00736648250460405,0.0122065727699531,1567
2016-09-30,"Greenspring","MD","Baltimore","Baltimore City","Baltimore",3613,1239,-0.00561797752808989,-0.0143198090692124,-0.0158856235107228,1136
2016-09-30,"Lake Hollingsworth","FL","Lakeland","Polk","Lakeland",3614,1482,0,-0.00536912751677852,0.0458715596330275,1390
2016-09-30,"Shady Oaks","TX","San Antonio","Bexar","San Antonio",3615,1486,-0.00134408602150538,-0.00268456375838926,-0.00867244829886591,773
