"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Baltimore, MD",20,,2100,2000,2000,2000,2000,2100,2000,2000,2047.5,2150,2000,1900,1925,1925,1950,1992.5,2000,2000,2000,1995,2000,1995,1900,1900,1900,1700,1750,1900,1856.5,1875,1825,1800,1795,1800,1800,1797,1797,1800,1895,1950,1937.5,1937.5,1900,1850,1850,2100,2000,1995,1962.5,1975,2000,2000,2000,2000,2000,2000,1975,2000,2062.5,2000,2150,2050,2100,2175,2150,2197.5,2100,2025,2000,1975,1975,1975,2097.5,2000,2100,2100,2200,2100,2000
"Denver, CO",21,,,,,,,,,,,,1800,1800,1795,1825,1900,1999.5,1800,1850,1850,1795,1795,1800,1795,1895,1950,2000,2047.5,2047.5,2012.5,1995,1995,1950,1900,2000,2000,2000,2000,1995,2000,2100,2000,2095,2095,2000,1995,2085,2000,1950,1950,1990,2197,2200,2295,2225,2295,2312.5,2275,2200,2250,2250,2250,2300,2400,2400,2400,2400,2350,2350,2300,2300,2385,2395,2340,2345,2400,2400,2397,2400,2300
"Pittsburgh, PA",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885,1695,1795,1750,1800,1650,1695,1800,1600,1495,1400,1497.5,1450,1395,1500,1677,1800,1800,1670,1497.5,1350,1350,1500,1475,1495,1500,1600,1500,1500,1600,1595,1477.5
"Portland, OR",23,,,,,,,,,,,,,,,,1595,1650,1695,1650,1600,1600,1650,1600,1550,1495,1600,1695,1695,1675,1695,1695,1595,1650,1595,1595,1595,1595,1695,1650,1645,1695,1795,1795,1795,1750,1795,1700,1700,1700,1697,1745,1795,1795,1895,1895,1895,1800,1800,1795,1850,1875,1897.5,1950,1975,1997.5,2000,2097,2095,1995,1995,1995,1995,1949,1995,2195,2000,2150,2000,2150,2195
"Charlotte, NC",24,,1550,1550,1550,1500,1500,1500,1595,1500,1495,1450,1495,1497,1495,1495,1500,1500,1499.5,1500,1495,1485,1450,1450,1400,1450,1495,1500,1595,1600,1600,1500,1500,1495,1485,1400,1400,1400,1495,1495,1495,1499,1500,1495,1450,1400,1400,1400,1400,1400,1400,1425,1495,1550,1575,1550,1525,1500,1495,1495,1500,1525,1550,1595,1595,1575,1580,1595,1595,1585,1575,1595,1600,1600,1595,1600,1600,1595,1595,1600,1600
"Sacramento, CA",25,,,,,,,,,,,,1450,1490,1550,1500,1599.5,1595,1595,1595,1595,1595,1562.5,1525,1500,1495,1495,1500,1575,1595,1595,1550,1600,1595,1550,1550,1575,1535.5,1550,1595,1595,1595,1600,1595,1595,1625,1600,1595,1600,1600,1600,1600,1695,1695,1695,1650,1700,1695,1695,1700,1695,1675,1695,1700,1750,1750,1795,1795,1795,1800,1795,1800,1800,1800,1795,1800,1850,1950,1850,1825,1850
"San Antonio, TX",26,,,,,,,,,,1450,1462.5,1495,1395,1395,1395,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1495,1407,1450,1500,1500,1495,1450,1450,1495,1400,1475,1407,1495,1495,1500,1500,1500,1495,1450,1450,1400,1400,1425,1425,1400,1450,1525,1500,1500,1512.5,1495,1475,1475,1495,1495,1500,1500,1500,1595,1600,1600,1599,1595,1595,1595,1590,1595,1600,1600,1635,1600,1600,1650,1612.5,1595
"Orlando, FL",27,,1497.5,1450,1450,1350,1495,1500,1500,1485,1450,1350,1325,1300,1395,1395,1495,1495,1472.5,1495,1400,1395,1395,1382.5,1350,1350,1400,1425,1450,1499,1500,1500,1495,1495,1495,1450,1450,1500,1525,1595,1595,1599.5,1597,1550,1600,1595,1595,1595,1595,1575,1550,1585,1690,1700,1700,1600,1600,1595,1550,1575,1575,1600,1600,1642,1650,1695,1695,1700,1650,1615,1650,1650,1695,1673.5,1699,1700,1750,1700,1695,1695,1700
"Cincinnati, OH",28,,,,,,,,,,,,,1324.5,1547.5,1650,1700,1650,1695,1647.5,1597.5,1597.5,1595,1500,1500,1595,1600,1395,1397.5,1597,1495,1350,1297.5,1295,1450,1295,1350,1400,1495,1450,1395,1395,1475,1500,1575,1575,1500,1600,1550,1500,1500,1500,1595,1597.5,1600,1595,1595,1599.5,1595,1595,1595,1600,1600,1595,1600,1650,1600,1650,1595,1500,1550,1500,1495,1500,1595,1595,1600,1662.5,1700,1650,1595
"Kansas City, MO",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1580,1500,1599,1650,1595,1599.5,1500,1450,1400,1500,1500,1595,1600,1595,1600,1475,1535
